zip,trial_count,density_pct,rural_urban,inc_quartile,mhi
77030,44,26.666666666666668,Urban,Q3,79415.0
91010,27,16.363636363636363,Urban,Q3,98189.0
19104,20,12.121212121212121,Urban,Q1 (Lowest),39526.0
10065,19,11.515151515151516,Urban,Q4 (Highest),160938.0
33612,17,10.303030303030303,Urban,Q1 (Lowest),43919.0
63110,14,8.484848484848486,Urban,Q2,73809.0
30322,13,7.878787878787878,Urban,Q1 (Lowest),-666666666.0
02215,13,7.878787878787878,Urban,Q2,65827.0
37203,12,7.2727272727272725,Urban,Q2,69671.0
98109,12,7.2727272727272725,Urban,Q4 (Highest),130845.0
