institution,unique_trials,unique_zips,trial_density_pct,cancer_type
Houston Methodist Hospital,7,1,12.068965517241379,lymphoma
Banner MD Anderson Cancer Center,5,1,8.620689655172415,lymphoma
Cedars-Sinai Medical Center,4,1,6.896551724137931,lymphoma
Colorado Blood Cancer Institute,4,1,6.896551724137931,lymphoma
City of Hope Medical Center,4,1,6.896551724137931,lymphoma
City of Hope,4,1,6.896551724137931,lymphoma
Stanford University,4,2,6.896551724137931,lymphoma
Texas Transplant Institute,4,1,6.896551724137931,lymphoma
Memorial Sloan Kettering Cancer Center,3,1,5.172413793103448,lymphoma
MD Anderson Cancer Center,3,1,5.172413793103448,lymphoma
