zip,trial_count,pct_of_total_sites,cancer_type,rural_urban,inc_quartile,population,mhi
77030,14,5.090909090909091,lymphoma,Urban,Q3,12976.0,79415.0
91010,9,3.272727272727273,lymphoma,Urban,Q3,27245.0,98189.0
53226,7,2.5454545454545454,lymphoma,Urban,Q3,18893.0,86361.0
66205,6,2.181818181818182,lymphoma,Urban,Q3,13728.0,100139.0
84112,5,1.8181818181818181,lymphoma,Urban,Q1 (Lowest),2738.0,-666666666.0
52242,5,1.8181818181818181,lymphoma,Urban,Q1 (Lowest),4412.0,-666666666.0
78229,5,1.8181818181818181,lymphoma,Urban,Q1 (Lowest),35195.0,46718.0
80218,5,1.8181818181818181,lymphoma,Urban,Q3,19364.0,82925.0
43210,5,1.8181818181818181,lymphoma,Urban,Q1 (Lowest),11853.0,30197.0
19104,5,1.8181818181818181,lymphoma,Urban,Q1 (Lowest),54454.0,39526.0
77030,11,9.166666666666666,Solid_cancer,Urban,Q3,12976.0,79415.0
19104,8,6.666666666666667,Solid_cancer,Urban,Q1 (Lowest),54454.0,39526.0
91010,7,5.833333333333333,Solid_cancer,Urban,Q3,27245.0,98189.0
98109,5,4.166666666666666,Solid_cancer,Urban,Q4 (Highest),32552.0,130845.0
10065,4,3.3333333333333335,Solid_cancer,Urban,Q4 (Highest),31047.0,160938.0
43210,4,3.3333333333333335,Solid_cancer,Urban,Q1 (Lowest),11853.0,30197.0
63110,4,3.3333333333333335,Solid_cancer,Urban,Q2,17725.0,73809.0
32224,4,3.3333333333333335,Solid_cancer,Urban,Q3,42252.0,80774.0
55905,3,2.5,Solid_cancer,Urban,Q1 (Lowest),0.0,-666666666.0
33612,3,2.5,Solid_cancer,Urban,Q1 (Lowest),49899.0,43919.0
77030,8,3.686635944700461,myeloma,Urban,Q3,12976.0,79415.0
10065,8,3.686635944700461,myeloma,Urban,Q4 (Highest),31047.0,160938.0
33612,7,3.225806451612903,myeloma,Urban,Q1 (Lowest),49899.0,43919.0
30322,7,3.225806451612903,myeloma,Urban,Q1 (Lowest),2422.0,-666666666.0
91010,6,2.7649769585253456,myeloma,Urban,Q3,27245.0,98189.0
37203,6,2.7649769585253456,myeloma,Urban,Q2,20234.0,69671.0
63110,6,2.7649769585253456,myeloma,Urban,Q2,17725.0,73809.0
84112,5,2.3041474654377883,myeloma,Urban,Q1 (Lowest),2738.0,-666666666.0
80218,5,2.3041474654377883,myeloma,Urban,Q3,19364.0,82925.0
28204,5,2.3041474654377883,myeloma,Urban,Q3,9744.0,89207.0
77030,11,11.956521739130435,leukemia,Urban,Q3,12976.0,79415.0
19104,6,6.521739130434782,leukemia,Urban,Q1 (Lowest),54454.0,39526.0
91010,5,5.434782608695652,leukemia,Urban,Q3,27245.0,98189.0
80045,4,4.3478260869565215,leukemia,Urban,Q1 (Lowest),1615.0,50000.0
10065,4,4.3478260869565215,leukemia,Urban,Q4 (Highest),31047.0,160938.0
38105,4,4.3478260869565215,leukemia,Urban,Q1 (Lowest),5151.0,29316.0
46202,4,4.3478260869565215,leukemia,Urban,Q2,20331.0,61082.0
11725,3,3.260869565217391,leukemia,Urban,Q4 (Highest),29050.0,168324.0
10604,3,3.260869565217391,leukemia,Urban,Q4 (Highest),12192.0,111131.0
07645,3,3.260869565217391,leukemia,Urban,Q4 (Highest),8625.0,183664.0
