zip,n_trials_in_zip,pct_of_unique_trials_footprint,n_site_occurrences_in_zip,pct_of_all_site_occurrences,rural_urban,inc_quartile,mhi,population
77030,44,26.666666666666668,44,6.25,Urban,Q3,79415.0,12976.0
91010,27,16.363636363636363,27,3.835227272727273,Urban,Q3,98189.0,27245.0
19104,20,12.121212121212121,20,2.840909090909091,Urban,Q1 (Lowest),39526.0,54454.0
10065,19,11.515151515151516,19,2.6988636363636362,Urban,Q4 (Highest),160938.0,31047.0
33612,17,10.303030303030303,17,2.414772727272727,Urban,Q1 (Lowest),43919.0,49899.0
63110,14,8.484848484848486,14,1.9886363636363635,Urban,Q2,73809.0,17725.0
30322,13,7.878787878787878,13,1.8465909090909092,Urban,Q1 (Lowest),,2422.0
02215,13,7.878787878787878,13,1.8465909090909092,Urban,Q2,65827.0,24054.0
37203,12,7.2727272727272725,12,1.7045454545454544,Urban,Q2,69671.0,20234.0
98109,12,7.2727272727272725,12,1.7045454545454544,Urban,Q4 (Highest),130845.0,32552.0
